image_name,distance,x_min,y_min,x_max,y_max,lenBB,lenSetCrossover,rate,rest,diff,x,y,S,P
img_1596.jpg,4.88,0.412538464864095,0.3885534498426649,0.5661046981811524,0.5684739854600694,4.884,1.943,0.1129651162790697,15.257,0.4315260145399305,0.15356623331705738,0.17992053561740456,0.027629718951152283,0.6669735378689239
img_1600.jpg,1.54,0.2792350133260091,0.3932123819986979,0.7497739791870117,0.9009663899739584,41.584,12.593,0.7321511627906977,4.607,0.0990336100260417,0.47053896586100263,0.5077540079752605,0.23891804582445836,1.9565859476725262
img_1601.jpg,3.68,0.3901056289672852,0.4064468807644314,0.6036621729532877,0.668035422431098,9.785,4.303,0.2501744186046511,12.897,0.3319645775689019,0.21355654398600254,0.2615885416666666,0.055863944904671746,0.9502901713053383
img_1603.jpg,2.22,0.3108858426411947,0.3519324620564779,0.6713918685913086,0.768328857421875,26.274,7.379,0.4290116279069767,9.821,0.231671142578125,0.36050602595011394,0.4163963953653971,0.15011340971313175,1.553804842631022
img_1605.jpg,3.73,0.3992253621419271,0.3720976935492621,0.6137610753377278,0.6371002197265625,10.088,3.506,0.2038372093023255,13.694,0.3628997802734375,0.21453571319580073,0.2650025261773004,0.05685250595213599,0.9590764787462023
img_1606.jpg,4.52,0.4032967885335286,0.3367062250773112,0.5848524093627929,0.569924799601237,7.48,1.998,0.1161627906976744,15.202,0.430075200398763,0.1815556208292643,0.2332185745239258,0.042342143086607394,0.8295483907063802
img_1607.jpg,5.4,0.4253065427144368,0.4236342112223307,0.5813018163045247,0.6244675106472439,5.548,3.165,0.1840116279069767,14.035,0.375532489352756,0.1559952735900879,0.20083329942491324,0.03132904548978938,0.7136571460300023
img_1608.jpg,6.21,0.4411278088887532,0.3981931898328993,0.5733606338500976,0.5684956868489583,4.03,1.943,0.1129651162790697,15.257,0.4315043131510416,0.13223282496134442,0.17030249701605904,0.022519580278404415,0.6050706439548069
img_1612.jpg,7.12,0.4254342079162597,0.4498784383138021,0.5486494700113932,0.6038556416829427,3.42,2.568,0.1493023255813953,14.632,0.3961443583170573,0.1232152620951335,0.15397720336914061,0.018972341469804335,0.5543849309285482
img_1613.jpg,5.26,0.4186009407043457,0.3934284210205078,0.5681999842325847,0.5837579091389974,5.11,2.287,0.1329651162790697,14.913,0.4162420908610026,0.14959904352823894,0.1903294881184896,0.028473109377745363,0.6798570632934571
img_1615.jpg,2.26,0.3078105926513672,0.307747459411621,0.709299914042155,0.7563339233398437,31.622,7.001,0.4070348837209302,10.199,0.2436660766601562,0.4014893213907878,0.4485864639282227,0.18010267498763524,1.700151570638021
img_1616.jpg,2.86,0.2300107479095459,0.2289360046386718,0.7367301940917969,0.7852565341525608,49.044,7.961,0.4628488372093023,9.239,0.2147434658474392,0.506719446182251,0.556320529513889,0.28189843061509445,2.12607995139228
img_1618.jpg,1.6,0.3229116121927897,0.3485668818155924,0.6554598490397135,0.7346692403157552,22.54,6.273,0.3647093023255814,10.927,0.2653307596842448,0.33254823684692386,0.3861023585001628,0.12839765856166804,1.4373011906941733
img_1619.jpg,3.65,0.3371157010396322,0.3666609870062934,0.6160799026489258,0.68824339972602,15.795,4.844,0.2816279069767441,12.356,0.31175660027398,0.2789642016092936,0.3215824127197266,0.08970998101594886,1.2010932286580402
img_1620.jpg,1.52,0.3263388951619466,0.3713282267252604,0.5609657287597656,0.6417371114095052,11.286,3.586,0.2084883720930232,13.614,0.3582628885904948,0.234626833597819,0.2704088846842448,0.06344518039018213,1.0100714365641275
